127.0.0.1 - - [25/Nov/2014:10:07:00 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:07:02 +0100] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2324
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:07:30 +0100] "POST /WholesalerWebDemo/controllerservlet;jsessionid=5657159BF117B17452CE630F5BDE50E1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:07:30 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:07:35 +0100] "GET /WholesalerWebDemo/controllerservlet?action=showProductList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:07:35 +0100] "GET /WholesalerWebDemo/products.jsp HTTP/1.1" 200 8742
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:07:44 +0100] "GET /WholesalerWebDemo/controllerservlet?action=showOrderList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:07:48 +0100] "GET /WholesalerWebDemo/orders.jsp HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:07:49 +0100] "GET /WholesalerWebDemo/images/buttons/refresh.png HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:07:51 +0100] "GET /WholesalerWebDemo/controllerservlet?action=showOrderList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:07:51 +0100] "GET /WholesalerWebDemo/orders.jsp HTTP/1.1" 200 2275
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:07:54 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:12:35 +0100] "GET /WholesalerWebDemo/controllerservlet?action=showProductList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:12:35 +0100] "GET /WholesalerWebDemo/products.jsp HTTP/1.1" 200 8742
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:12:53 +0100] "GET /WholesalerWebDemo/controllerservlet?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:12:53 +0100] "GET /WholesalerWebDemo/logout.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:12:55 +0100] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:12 +0100] "POST /WholesalerWebDemo/controllerservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:12 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1272
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:12 +0100] "GET /WholesalerWebDemo/images/buttons/configure.png HTTP/1.1" 200 4337
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:15 +0100] "GET /WholesalerWebDemo/controllerservlet?action=readWsSettings HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:16 +0100] "GET /WholesalerWebDemo/ws_settings.jsp HTTP/1.1" 200 2316
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:28 +0100] "GET /WholesalerWebDemo/controllerservlet?action=showOrderList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:28 +0100] "GET /WholesalerWebDemo/orders.jsp HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:33 +0100] "GET /WholesalerWebDemo/controllerservlet?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:33 +0100] "GET /WholesalerWebDemo/logout.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:35 +0100] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:36 +0100] "POST /WholesalerWebDemo/controllerservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:36 +0100] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2265
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:46 +0100] "POST /WholesalerWebDemo/controllerservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:13:46 +0100] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:02 +0100] "POST /WholesalerWebDemo/controllerservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:02 +0100] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:21 +0100] "POST /WholesalerWebDemo/controllerservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:21 +0100] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2133
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:32 +0100] "POST /WholesalerWebDemo/controllerservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:32 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:34 +0100] "GET /WholesalerWebDemo/controllerservlet?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:34 +0100] "GET /WholesalerWebDemo/logout.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:35 +0100] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:47 +0100] "POST /WholesalerWebDemo/controllerservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:47 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:50 +0100] "GET /WholesalerWebDemo/controllerservlet?action=readWsSettings HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:50 +0100] "GET /WholesalerWebDemo/ws_settings.jsp HTTP/1.1" 200 2187
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:58 +0100] "GET /WholesalerWebDemo/controllerservlet?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:14:58 +0100] "GET /WholesalerWebDemo/logout.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:15:01 +0100] "GET /WholesalerWebDemo/login.jsp HTTP/1.1" 200 2060
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:32:41 +0100] "POST /WholesalerWebDemo/controllerservlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:32:41 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:41:02 +0100] "GET /WholesalerWebDemo/controllerservlet?action=showProductList HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:41:02 +0100] "GET /WholesalerWebDemo/products.jsp HTTP/1.1" 200 8742
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:42:15 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1402
0:0:0:0:0:0:0:1 - - [25/Nov/2014:10:51:23 +0100] "GET /WholesalerWebDemo/welcome.jsp HTTP/1.1" 200 1402
